Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Verena SAILER,11.11,0.153,Qualified
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Octavious FREEMAN,11.16,0.176,Qualified
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Ezinne OKPARAEBO,11.23,0.162,Qualified
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Mariely SçNCHEZ,11.41,0.236,FastestQualifier
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Olesya POVKH,11.41,0.149,FastestQualifier
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Katerina CECHOVç,11.67,0.169,Eliminated
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Yvonne NALISHUWA,12.47,0.179,Eliminated
Worlds,Womens,100m,2013,Moscow,1,1,-0.3,Pauline KWALEA,13.53,0.185,Eliminated
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Kerron STEWART,11.02,0.189,Qualified
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Alexandria ANDERSON,11.13,0.155,Qualified
Worlds,Womens,100m,2013,Moscow,1,2,-0.4, Asha PHILIP,11.29,0.136,Qualified
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Tatjana PINTO LOFAMAKANDA,11.38,0.19,FastestQualifier
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Lina GRINCIKAITÄ,11.48,0.171,Eliminated
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Tahesia HARRIGAN-SCOTT,11.61,0.202,Eliminated
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Lovelite DETENAMO,12.35,0.168,Eliminated
Worlds,Womens,100m,2013,Moscow,1,2,-0.4,Hereiti BERNARDINO,12.84,0.266,Eliminated
Worlds,Womens,100m,2013,Moscow,1,3,-0.5, English GARDNER,10.94,0.122,Qualified
Worlds,Womens,100m,2013,Moscow,1,3,-0.5, Ivet LALOVA,11.18,0.163,Qualified
Worlds,Womens,100m,2013,Moscow,1,3,-0.5,Sheri-Ann BROOKS,11.32,0.163,Qualified
Worlds,Womens,100m,2013,Moscow,1,3,-0.5,Myriam SOUMARÄ,11.34,0.168,FastestQualifier
Worlds,Womens,100m,2013,Moscow,1,3,-0.5,Melissa BREEN,11.47,0.15,Eliminated
